7.7e-21 -3.7599751e-14 3.0611098e-14 -11671023 12161326 
7.8e-21 -3.8775626e-14 3.1834393e-14 -11844409 12303078 
7.9e-21 -3.9968238e-14 3.3071427e-14 -12005929 12436205 
8e-21 -4.1176452e-14 3.4321369e-14 -12156633 12561361 
8.1e-21 -4.2399235e-14 3.5583453e-14 -12297464 12679149 
8.2e-21 -4.3635644e-14 3.6856971e-14 -12429269 12790122 
8.3e-21 -4.4884814e-14 3.8141267e-14 -12552810 12894786 
8.4e-21 -4.6145953e-14 3.9435734e-14 -12668775 12993608 
8.5e-21 -4.7418337e-14 4.0739808e-14 -12777781 13087012 
8.6e-21 -4.8701296e-14 4.2052969e-14 -12880388 13175390 
8.7e-21 -4.9994218e-14 4.3374731e-14 -12977101 13259099 
8.8e-21 -5.1296535e-14 4.4704644e-14 -13068377 13338467 
8.9e-21 -5.2607726e-14 4.604229e-14 -13154629 13413795 
9e-21 -5.3927306e-14 4.7387278e-14 -13236233 13485358 
9.1e-21 -5.5254829e-14 4.8739244e-14 -13313531 13553412 
9.2e-21 -5.6589879e-14 5.0097851e-14 -13386834 13618188 
9.3e-21 -5.7932072e-14 5.146278e-14 -13456424 13679901 
9.4e-21 -5.9281049e-14 5.2833735e-14 -13522561 13738749 
9.5e-21 -6.0636477e-14 5.421044e-14 -13585481 13794913 
9.6e-21 -6.1998045e-14 5.5592634e-14 -13645400 13848561 
9.7e-21 -6.3365464e-14 5.6980074e-14 -13702516 13899848 
9.8e-21 -6.4738461e-14 5.837253e-14 -13757011 13948918 
9.9e-21 -6.6116784e-14 5.9769788e-14 -13809052 13995904 
1e-20 -6.7500195e-14 6.1171645e-14 -13858795 14040926 
